complaint_id,fraud_type,transaction_amount,transaction_count,complaint_count,location,latitude,longitude,location_risk,withdrawal_distance,withdrawal_hour,previous_cases,hotspot
CP-00276,Investment Fraud,33852,14,1,Nashik,19.9975,73.7898,0.75,29.13,1,13,1
CP-00277,Investment Fraud,8857,9,2,Kolhapur,16.705,74.2433,0.93,3.92,15,1,1
CP-00278,Investment Fraud,24090,13,5,Nashik,19.9975,73.7898,0.77,48.93,20,13,1
CP-00279,Investment Fraud,59290,14,13,Nashik,19.9975,73.7898,0.38,34.3,21,4,0
CP-00280,UPI Fraud,23892,9,13,Pune,18.5204,73.8567,0.53,36.53,7,0,0
CP-00281,Identity Theft,61186,11,18,Nagpur,21.1458,79.0882,0.42,19.27,7,7,0
CP-00282,Identity Theft,20832,5,7,Nagpur,21.1458,79.0882,0.94,36.39,3,1,1
CP-00283,Phishing,2550,4,7,Thane,19.2183,72.9781,0.07,29.9,14,1,0
CP-00284,Online Shopping Fraud,6298,7,15,Kolhapur,16.705,74.2433,0.23,11.25,1,4,0
CP-00285,Phishing,31192,14,19,Nagpur,21.1458,79.0882,0.32,30.1,21,10,0
CP-00286,Identity Theft,19277,11,17,Nagpur,21.1458,79.0882,0.22,15.37,1,5,0
CP-00287,Identity Theft,65462,1,12,Thane,19.2183,72.9781,0.94,33.73,16,10,0
CP-00288,Investment Fraud,20058,5,13,Nashik,19.9975,73.7898,0.18,27.13,7,7,0
CP-00289,Identity Theft,93243,3,15,Aurangabad,19.8762,75.3433,0.91,28.34,13,4,0
CP-00290,Online Shopping Fraud,33922,4,11,Mumbai,19.076,72.8777,0.65,46.15,11,2,0
CP-00291,Phishing,25466,1,9,Kolhapur,16.705,74.2433,0.38,30.45,1,2,0
CP-00292,UPI Fraud,77515,12,18,Aurangabad,19.8762,75.3433,0.22,10.84,10,9,0
CP-00293,Identity Theft,25406,12,4,Mumbai,19.076,72.8777,0.75,37.84,7,6,0
CP-00294,Investment Fraud,72862,6,10,Mumbai,19.076,72.8777,0.38,26.92,11,9,0
CP-00295,Investment Fraud,67715,15,16,Nagpur,21.1458,79.0882,0.47,40.24,23,15,1
CP-00296,UPI Fraud,49089,6,14,Mumbai,19.076,72.8777,0.05,43.27,23,4,0
CP-00297,Investment Fraud,73023,15,19,Nagpur,21.1458,79.0882,0.58,21.17,4,6,1
CP-00298,Investment Fraud,50286,10,8,Mumbai,19.076,72.8777,0.5,32.9,21,10,0
CP-00299,Phishing,64544,12,16,Aurangabad,19.8762,75.3433,0.46,36.77,11,5,0
CP-00300,Online Shopping Fraud,72136,8,6,Kolhapur,16.705,74.2433,0.92,27.34,20,1,0
CP-00301,UPI Fraud,10242,14,2,Pune,18.5204,73.8567,0.76,20.91,20,7,0
CP-00302,Identity Theft,20295,1,7,Kolhapur,16.705,74.2433,0.51,18.97,19,15,0
CP-00303,Online Shopping Fraud,1366,9,18,Pune,18.5204,73.8567,0.41,1.33,23,8,1
CP-00304,Online Shopping Fraud,2746,9,14,Nagpur,21.1458,79.0882,0.81,45.53,3,3,1
CP-00305,UPI Fraud,32084,4,20,Mumbai,19.076,72.8777,0.53,40.85,8,12,0
CP-00306,UPI Fraud,53718,8,19,Nagpur,21.1458,79.0882,0.24,35.01,9,2,0
CP-00307,UPI Fraud,53620,7,13,Pune,18.5204,73.8567,0.55,3.28,0,5,1
CP-00308,Phishing,57373,11,11,Nashik,19.9975,73.7898,0.57,42.97,3,1,0
CP-00309,Online Shopping Fraud,91239,15,19,Mumbai,19.076,72.8777,0.48,2.8,2,8,1
CP-00310,Identity Theft,86759,1,6,Thane,19.2183,72.9781,0.93,16.07,6,4,0
CP-00311,Identity Theft,39726,3,19,Pune,18.5204,73.8567,0.24,41.82,12,10,0
CP-00312,Identity Theft,97459,3,3,Aurangabad,19.8762,75.3433,0.5,48.73,1,3,0
CP-00313,UPI Fraud,10463,6,20,Mumbai,19.076,72.8777,0.77,47.77,12,10,1
CP-00314,Phishing,36325,13,15,Kolhapur,16.705,74.2433,0.49,18.11,12,13,0
CP-00315,UPI Fraud,77291,11,13,Kolhapur,16.705,74.2433,0.09,31.12,7,2,0
CP-00316,UPI Fraud,20714,7,5,Nagpur,21.1458,79.0882,0.74,16.18,3,2,0
CP-00317,Online Shopping Fraud,58792,6,9,Nagpur,21.1458,79.0882,0.1,4.82,13,14,0
CP-00318,Identity Theft,67666,7,4,Thane,19.2183,72.9781,0.03,18.02,2,10,0
CP-00319,Online Shopping Fraud,38753,7,13,Pune,18.5204,73.8567,0.78,36.38,17,7,0
CP-00320,Phishing,22727,11,13,Thane,19.2183,72.9781,0.17,13.81,8,15,0
CP-00321,Investment Fraud,22416,7,9,Pune,18.5204,73.8567,0.42,24.47,2,11,0
CP-00322,Investment Fraud,94989,11,16,Mumbai,19.076,72.8777,0.59,10.18,3,4,1
CP-00323,Identity Theft,52364,6,20,Pune,18.5204,73.8567,0.38,43.18,14,10,0
CP-00324,Identity Theft,85832,10,5,Aurangabad,19.8762,75.3433,0.3,30.36,22,6,0
CP-00325,Investment Fraud,23783,7,11,Nagpur,21.1458,79.0882,0.29,34.9,15,7,0
CP-00326,Online Shopping Fraud,37239,14,13,Nashik,19.9975,73.7898,0.37,46.64,6,5,0
CP-00327,Identity Theft,95817,8,7,Pune,18.5204,73.8567,0.44,14.92,22,2,0
CP-00328,Identity Theft,65944,3,10,Kolhapur,16.705,74.2433,0.24,33.1,22,13,0
CP-00329,Online Shopping Fraud,59360,10,16,Pune,18.5204,73.8567,0.58,26.95,22,13,0
CP-00330,Investment Fraud,47624,12,18,Pune,18.5204,73.8567,0.59,45.76,3,7,1
CP-00331,Investment Fraud,85303,10,2,Mumbai,19.076,72.8777,0.56,32.43,20,12,0
CP-00332,Identity Theft,56920,2,1,Aurangabad,19.8762,75.3433,0.1,11.49,23,7,0
CP-00333,UPI Fraud,51766,8,19,Nagpur,21.1458,79.0882,0.69,7.96,0,15,1
CP-00334,Investment Fraud,55022,15,3,Nagpur,21.1458,79.0882,0.12,47.06,4,11,0
CP-00335,Identity Theft,60181,13,7,Nagpur,21.1458,79.0882,0.52,17.74,3,14,1
CP-00336,Phishing,9304,5,2,Nagpur,21.1458,79.0882,0.81,6.2,10,3,0
CP-00337,Phishing,32470,9,6,Kolhapur,16.705,74.2433,0.55,16.88,13,14,0
CP-00338,Online Shopping Fraud,53590,11,6,Aurangabad,19.8762,75.3433,0.19,33.04,12,0,0
CP-00339,UPI Fraud,59426,10,14,Mumbai,19.076,72.8777,0.39,35.38,6,8,0
CP-00340,Investment Fraud,13836,13,18,Thane,19.2183,72.9781,0.19,16.64,14,3,0
CP-00341,Investment Fraud,64657,9,11,Kolhapur,16.705,74.2433,0.6,30.76,18,3,0
CP-00342,Phishing,60512,10,6,Nagpur,21.1458,79.0882,0.81,35.45,9,2,0
CP-00343,Identity Theft,15948,4,10,Nagpur,21.1458,79.0882,0.12,18.98,4,12,0
CP-00344,Online Shopping Fraud,18570,10,13,Thane,19.2183,72.9781,0.42,24.59,17,5,0
CP-00345,Investment Fraud,64678,5,5,Mumbai,19.076,72.8777,0.19,42.18,19,1,0
CP-00346,Identity Theft,64018,3,7,Pune,18.5204,73.8567,0.82,48.21,16,15,0
CP-00347,Investment Fraud,64951,7,15,Kolhapur,16.705,74.2433,0.49,4.59,0,7,1
CP-00348,Online Shopping Fraud,36525,4,18,Pune,18.5204,73.8567,0.29,39.15,18,15,0
CP-00349,Identity Theft,15338,10,4,Thane,19.2183,72.9781,0.27,27.38,11,1,0
CP-00350,UPI Fraud,29144,7,4,Thane,19.2183,72.9781,0.74,32.86,7,9,0
CP-00351,Online Shopping Fraud,34947,6,3,Nashik,19.9975,73.7898,0.44,49.7,7,6,0
CP-00352,Phishing,46457,14,20,Kolhapur,16.705,74.2433,0.63,8.72,4,6,1
CP-00353,Investment Fraud,8280,10,12,Aurangabad,19.8762,75.3433,0.53,30.04,5,10,1
CP-00354,Identity Theft,75569,5,17,Nagpur,21.1458,79.0882,0.99,34.13,3,4,1
CP-00355,Phishing,36849,14,5,Pune,18.5204,73.8567,0.7,7.07,4,10,1
CP-00356,Identity Theft,89135,7,16,Aurangabad,19.8762,75.3433,0.14,31.8,20,13,0
CP-00357,Identity Theft,10398,11,3,Nashik,19.9975,73.7898,0.4,37.62,22,11,0
CP-00358,Investment Fraud,43398,10,1,Nashik,19.9975,73.7898,0.87,42.43,2,14,1
CP-00359,Investment Fraud,8800,13,18,Aurangabad,19.8762,75.3433,0.4,48.42,6,15,0
CP-00360,UPI Fraud,37671,6,18,Nagpur,21.1458,79.0882,0.58,28.52,15,10,0
CP-00361,Identity Theft,13551,11,15,Pune,18.5204,73.8567,0.02,46.51,5,14,0
CP-00362,Investment Fraud,56572,4,5,Pune,18.5204,73.8567,0.88,15.44,8,2,0
CP-00363,Identity Theft,11303,6,6,Nagpur,21.1458,79.0882,0.05,31.47,23,7,0
CP-00364,Online Shopping Fraud,12453,12,4,Kolhapur,16.705,74.2433,0.0,24.1,4,7,0
CP-00365,Identity Theft,58835,1,1,Kolhapur,16.705,74.2433,0.7,40.95,13,4,0
CP-00366,Investment Fraud,30508,7,3,Pune,18.5204,73.8567,0.73,5.57,10,11,0
CP-00367,Online Shopping Fraud,50664,13,5,Mumbai,19.076,72.8777,0.64,34.02,2,0,0
CP-00368,Online Shopping Fraud,22011,8,12,Kolhapur,16.705,74.2433,0.72,31.59,4,13,1
CP-00369,Investment Fraud,58484,14,7,Kolhapur,16.705,74.2433,0.09,5.47,3,12,0
CP-00370,UPI Fraud,41722,13,5,Nashik,19.9975,73.7898,0.25,32.41,7,9,0
CP-00371,Investment Fraud,86798,15,10,Aurangabad,19.8762,75.3433,0.21,30.54,6,12,0
CP-00372,Online Shopping Fraud,7652,13,8,Kolhapur,16.705,74.2433,0.49,6.08,15,2,0
CP-00373,Investment Fraud,47829,15,11,Pune,18.5204,73.8567,0.13,43.11,18,13,0
CP-00374,UPI Fraud,90014,3,16,Thane,19.2183,72.9781,0.95,38.63,0,2,1
CP-00375,Identity Theft,28777,1,2,Nagpur,21.1458,79.0882,0.95,20.2,9,13,0
CP-00376,UPI Fraud,53227,2,18,Kolhapur,16.705,74.2433,0.54,8.06,2,9,0
CP-00377,Investment Fraud,27133,13,5,Thane,19.2183,72.9781,0.54,19.84,20,2,0
CP-00378,Identity Theft,57842,12,8,Kolhapur,16.705,74.2433,0.06,4.77,13,3,0
CP-00379,UPI Fraud,80300,1,10,Thane,19.2183,72.9781,0.67,33.07,5,3,0
CP-00380,Phishing,18484,12,1,Kolhapur,16.705,74.2433,0.16,47.67,16,8,0
CP-00381,Identity Theft,17137,12,9,Nagpur,21.1458,79.0882,0.73,6.34,0,10,1
CP-00382,Identity Theft,69162,2,9,Nagpur,21.1458,79.0882,0.71,29.04,2,15,1
CP-00383,UPI Fraud,47702,1,16,Thane,19.2183,72.9781,0.86,8.76,5,8,1
CP-00384,Phishing,88858,12,4,Thane,19.2183,72.9781,0.23,25.69,1,0,0
CP-00385,Phishing,62335,6,13,Pune,18.5204,73.8567,0.92,9.36,1,13,1
CP-00386,Online Shopping Fraud,33040,7,11,Nagpur,21.1458,79.0882,0.27,4.36,11,3,0
CP-00387,Identity Theft,7403,3,8,Kolhapur,16.705,74.2433,0.8,49.08,12,2,0
CP-00388,Phishing,37502,13,10,Aurangabad,19.8762,75.3433,0.33,27.88,0,11,0
CP-00389,Phishing,74399,13,10,Nagpur,21.1458,79.0882,0.74,12.51,11,15,1
CP-00390,Online Shopping Fraud,72138,13,8,Kolhapur,16.705,74.2433,0.15,46.65,0,7,0
CP-00391,Investment Fraud,83854,14,1,Nagpur,21.1458,79.0882,0.95,0.57,21,12,1
CP-00392,UPI Fraud,27395,9,8,Pune,18.5204,73.8567,0.42,48.08,4,8,0
CP-00393,Online Shopping Fraud,30839,15,17,Pune,18.5204,73.8567,0.41,44.83,14,2,0
CP-00394,Phishing,66747,3,13,Pune,18.5204,73.8567,0.07,28.61,13,4,0
CP-00395,Investment Fraud,34708,14,11,Nagpur,21.1458,79.0882,0.93,19.95,23,10,1
CP-00396,Phishing,36145,4,3,Nashik,19.9975,73.7898,0.94,7.24,18,3,0
CP-00397,Identity Theft,22044,8,15,Pune,18.5204,73.8567,0.31,6.48,11,6,0
CP-00398,Phishing,61231,5,4,Nagpur,21.1458,79.0882,0.09,40.48,9,1,0
CP-00399,Investment Fraud,43464,3,3,Aurangabad,19.8762,75.3433,0.71,48.44,12,1,0
CP-00400,UPI Fraud,23289,1,13,Nagpur,21.1458,79.0882,0.85,28.02,17,7,0
CP-00401,Phishing,13857,13,5,Nashik,19.9975,73.7898,0.12,3.55,7,4,0
CP-00402,UPI Fraud,53005,6,3,Aurangabad,19.8762,75.3433,0.58,13.31,2,0,0
CP-00403,UPI Fraud,85170,8,5,Mumbai,19.076,72.8777,0.09,42.44,10,3,0
CP-00404,Identity Theft,7137,3,19,Nashik,19.9975,73.7898,0.43,36.36,15,0,0
CP-00405,Phishing,56423,3,12,Kolhapur,16.705,74.2433,0.21,9.76,8,14,0
CP-00406,UPI Fraud,80992,10,20,Pune,18.5204,73.8567,0.25,15.11,13,15,0
CP-00407,Online Shopping Fraud,37170,7,5,Pune,18.5204,73.8567,0.42,32.31,16,7,0
CP-00408,Identity Theft,3059,7,12,Aurangabad,19.8762,75.3433,0.48,39.18,11,10,0
CP-00409,Identity Theft,24068,1,11,Nagpur,21.1458,79.0882,0.6,1.95,8,1,0
CP-00410,Phishing,47349,13,19,Thane,19.2183,72.9781,1.0,48.71,3,7,1
CP-00411,Investment Fraud,70451,14,2,Nagpur,21.1458,79.0882,0.76,47.42,18,12,0
CP-00412,Online Shopping Fraud,23268,3,8,Aurangabad,19.8762,75.3433,0.59,40.41,22,11,0
CP-00413,Identity Theft,92702,12,12,Pune,18.5204,73.8567,0.95,28.4,18,6,1
CP-00414,UPI Fraud,41008,3,16,Thane,19.2183,72.9781,0.04,3.28,19,7,0
CP-00415,Phishing,63150,1,11,Thane,19.2183,72.9781,0.92,10.47,4,10,1
CP-00416,Online Shopping Fraud,42913,1,1,Aurangabad,19.8762,75.3433,0.15,35.38,4,3,0
CP-00417,Investment Fraud,48326,2,12,Aurangabad,19.8762,75.3433,0.7,33.28,18,3,0
CP-00418,Investment Fraud,42784,3,6,Nagpur,21.1458,79.0882,0.73,22.12,20,15,0
CP-00419,Identity Theft,93191,9,20,Mumbai,19.076,72.8777,0.79,11.55,18,5,1
CP-00420,Online Shopping Fraud,96706,12,10,Nagpur,21.1458,79.0882,0.13,36.58,22,12,0
CP-00421,Identity Theft,24365,10,11,Pune,18.5204,73.8567,0.92,48.39,7,3,1
CP-00422,Investment Fraud,43906,12,3,Mumbai,19.076,72.8777,0.24,49.13,5,2,0
CP-00423,UPI Fraud,1993,5,7,Nashik,19.9975,73.7898,0.25,3.86,8,3,0
CP-00424,Investment Fraud,51085,8,14,Pune,18.5204,73.8567,0.97,44.29,15,12,1
CP-00425,Phishing,49697,2,16,Thane,19.2183,72.9781,0.79,29.11,21,7,0
CP-00426,Investment Fraud,10161,13,2,Nashik,19.9975,73.7898,0.29,16.28,3,2,0
CP-00427,Online Shopping Fraud,49712,3,3,Mumbai,19.076,72.8777,0.55,44.96,2,10,0
CP-00428,Phishing,63773,12,1,Thane,19.2183,72.9781,0.43,32.85,19,13,0
CP-00429,Investment Fraud,13772,6,7,Pune,18.5204,73.8567,0.97,20.76,17,8,1
CP-00430,UPI Fraud,31635,2,2,Nagpur,21.1458,79.0882,0.39,27.71,15,4,0
CP-00431,Phishing,1000,7,3,Nagpur,21.1458,79.0882,0.29,33.27,19,15,0
CP-00432,Investment Fraud,3873,4,6,Pune,18.5204,73.8567,0.64,48.86,15,3,0
CP-00433,Phishing,52596,8,16,Aurangabad,19.8762,75.3433,0.89,13.62,20,12,1
CP-00434,Phishing,50496,6,6,Nagpur,21.1458,79.0882,0.45,13.53,14,8,0
CP-00435,Investment Fraud,35700,10,2,Aurangabad,19.8762,75.3433,0.15,34.98,3,2,0
CP-00436,Online Shopping Fraud,71468,7,19,Aurangabad,19.8762,75.3433,0.23,3.52,12,13,0
CP-00437,Online Shopping Fraud,62736,10,8,Kolhapur,16.705,74.2433,0.48,4.41,22,1,0
CP-00438,Phishing,68240,13,19,Thane,19.2183,72.9781,0.68,31.2,3,14,1
CP-00439,Phishing,28272,13,7,Mumbai,19.076,72.8777,0.13,21.46,21,13,0
CP-00440,Identity Theft,82711,3,20,Aurangabad,19.8762,75.3433,0.26,45.58,2,2,0
CP-00441,UPI Fraud,52582,9,11,Thane,19.2183,72.9781,0.86,26.22,0,13,1
CP-00442,Online Shopping Fraud,20113,3,19,Nashik,19.9975,73.7898,0.59,38.04,3,3,0
CP-00443,Identity Theft,13737,13,10,Aurangabad,19.8762,75.3433,0.87,44.07,13,8,1
CP-00444,Online Shopping Fraud,64146,10,20,Kolhapur,16.705,74.2433,0.47,9.02,12,4,0
CP-00445,UPI Fraud,89735,12,13,Thane,19.2183,72.9781,0.04,44.53,10,7,0
CP-00446,Investment Fraud,62787,15,9,Kolhapur,16.705,74.2433,0.9,1.5,9,9,1
CP-00447,Investment Fraud,64937,14,4,Aurangabad,19.8762,75.3433,0.97,11.78,9,14,1
CP-00448,Identity Theft,96025,7,20,Nagpur,21.1458,79.0882,0.65,9.8,6,13,1
CP-00449,Investment Fraud,68198,14,12,Aurangabad,19.8762,75.3433,0.82,26.01,5,2,1
CP-00450,Phishing,66926,7,5,Kolhapur,16.705,74.2433,0.78,26.45,18,0,0
CP-00451,Investment Fraud,26809,14,2,Mumbai,19.076,72.8777,0.25,23.09,11,6,0
CP-00452,Investment Fraud,61346,9,13,Nagpur,21.1458,79.0882,0.64,6.63,0,7,1
CP-00453,Investment Fraud,78362,8,6,Nashik,19.9975,73.7898,0.96,23.99,17,11,1
CP-00454,Phishing,34403,12,3,Mumbai,19.076,72.8777,0.29,19.64,5,6,0
CP-00455,Identity Theft,30005,11,7,Kolhapur,16.705,74.2433,0.27,20.77,0,0,0
CP-00456,Investment Fraud,85352,3,20,Mumbai,19.076,72.8777,0.8,11.58,19,9,1
CP-00457,Online Shopping Fraud,49845,14,12,Nashik,19.9975,73.7898,0.46,11.3,9,12,0
CP-00458,UPI Fraud,1463,9,12,Pune,18.5204,73.8567,0.56,29.89,9,9,0
CP-00459,Phishing,8867,6,9,Nashik,19.9975,73.7898,0.64,43.14,8,9,0
CP-00460,Investment Fraud,68302,13,8,Mumbai,19.076,72.8777,0.9,40.37,19,12,1
CP-00461,Identity Theft,18840,12,1,Kolhapur,16.705,74.2433,0.66,49.87,8,13,0
CP-00462,Phishing,97064,1,19,Nashik,19.9975,73.7898,0.71,28.82,6,10,0
CP-00463,Phishing,70575,11,16,Kolhapur,16.705,74.2433,0.91,33.76,16,9,1
CP-00464,Online Shopping Fraud,86694,15,18,Aurangabad,19.8762,75.3433,0.18,5.33,4,8,0
CP-00465,Identity Theft,24495,11,11,Aurangabad,19.8762,75.3433,0.65,11.5,7,9,0
CP-00466,UPI Fraud,43926,6,9,Aurangabad,19.8762,75.3433,0.59,23.46,3,15,1
CP-00467,Identity Theft,83651,10,19,Aurangabad,19.8762,75.3433,0.94,4.03,6,3,1
CP-00468,Identity Theft,39606,7,2,Thane,19.2183,72.9781,0.87,7.96,6,10,0
CP-00469,Investment Fraud,60474,3,11,Thane,19.2183,72.9781,0.86,9.43,2,15,1
CP-00470,Identity Theft,23676,6,2,Kolhapur,16.705,74.2433,0.0,14.04,5,5,0
CP-00471,Identity Theft,12039,3,20,Aurangabad,19.8762,75.3433,0.43,21.76,13,15,0
CP-00472,UPI Fraud,5444,9,7,Pune,18.5204,73.8567,0.73,47.53,10,6,0
CP-00473,UPI Fraud,1040,11,8,Kolhapur,16.705,74.2433,0.23,43.91,9,4,0
CP-00474,Identity Theft,66473,10,10,Nashik,19.9975,73.7898,0.17,41.28,9,9,0
CP-00475,Identity Theft,68695,10,17,Kolhapur,16.705,74.2433,0.34,44.45,4,10,0
CP-00476,Phishing,98819,4,6,Nagpur,21.1458,79.0882,0.95,45.95,12,0,0
CP-00477,Investment Fraud,95811,3,7,Mumbai,19.076,72.8777,0.73,29.69,5,3,0
CP-00478,Online Shopping Fraud,85767,13,2,Kolhapur,16.705,74.2433,0.38,32.2,17,1,0
CP-00479,UPI Fraud,87265,2,1,Pune,18.5204,73.8567,0.05,6.23,14,12,0
CP-00480,Identity Theft,33626,8,5,Thane,19.2183,72.9781,0.21,34.44,0,9,0
CP-00481,UPI Fraud,13735,11,17,Kolhapur,16.705,74.2433,0.27,30.48,4,13,0
CP-00482,Online Shopping Fraud,94710,10,4,Thane,19.2183,72.9781,0.28,39.35,15,6,0
CP-00483,Phishing,34971,14,17,Mumbai,19.076,72.8777,0.97,18.22,13,9,1
CP-00484,UPI Fraud,72345,8,7,Pune,18.5204,73.8567,0.69,24.29,7,0,0
CP-00485,Online Shopping Fraud,12165,15,4,Kolhapur,16.705,74.2433,0.84,33.62,4,2,1
CP-00486,Investment Fraud,95338,12,4,Pune,18.5204,73.8567,0.9,32.39,14,9,1
CP-00487,Identity Theft,7064,2,6,Nashik,19.9975,73.7898,0.87,42.69,11,10,0
CP-00488,Investment Fraud,15691,2,2,Kolhapur,16.705,74.2433,0.01,7.35,20,5,0
CP-00489,UPI Fraud,57872,10,9,Nagpur,21.1458,79.0882,0.88,5.1,10,5,1
CP-00490,Phishing,52961,8,9,Nashik,19.9975,73.7898,0.84,34.65,15,13,1
CP-00491,Online Shopping Fraud,17868,12,2,Pune,18.5204,73.8567,0.98,42.3,3,13,1
CP-00492,Phishing,75072,11,15,Nashik,19.9975,73.7898,0.18,19.3,11,0,0
CP-00493,UPI Fraud,64479,2,14,Nashik,19.9975,73.7898,0.44,3.64,20,10,0
CP-00494,Online Shopping Fraud,89357,9,19,Kolhapur,16.705,74.2433,0.72,11.59,21,10,1
CP-00495,Investment Fraud,90709,12,20,Thane,19.2183,72.9781,0.1,33.25,7,15,0
CP-00496,UPI Fraud,89143,11,13,Kolhapur,16.705,74.2433,0.15,41.41,19,1,0
CP-00497,Investment Fraud,21068,9,16,Kolhapur,16.705,74.2433,0.85,43.54,2,15,1
CP-00498,Phishing,43871,5,2,Mumbai,19.076,72.8777,0.51,27.75,12,12,0
CP-00499,UPI Fraud,60674,8,19,Pune,18.5204,73.8567,0.45,42.9,14,10,0
CP-00500,UPI Fraud,98179,11,1,Nashik,19.9975,73.7898,0.1,20.91,17,0,0
CP-00501,Investment Fraud,79694,10,10,Aurangabad,19.8762,75.3433,0.89,28.34,20,14,1
CP-00502,Investment Fraud,7613,14,8,Nagpur,21.1458,79.0882,0.84,16.93,19,15,1
CP-00503,Investment Fraud,59814,2,4,Kolhapur,16.705,74.2433,0.76,11.48,10,11,0
CP-00504,UPI Fraud,68917,6,4,Thane,19.2183,72.9781,0.05,8.63,4,13,0
CP-00505,Phishing,80565,4,7,Nagpur,21.1458,79.0882,0.12,42.68,6,14,0
CP-00506,Identity Theft,44793,2,14,Kolhapur,16.705,74.2433,0.05,31.85,21,3,0
CP-00507,Online Shopping Fraud,86805,10,17,Nashik,19.9975,73.7898,0.13,25.19,16,1,0
CP-00508,Phishing,77192,8,17,Nashik,19.9975,73.7898,0.78,45.55,22,5,1
CP-00509,Online Shopping Fraud,51278,11,20,Pune,18.5204,73.8567,0.61,16.43,12,13,1
CP-00510,Phishing,33037,5,13,Kolhapur,16.705,74.2433,0.96,48.54,14,4,1
CP-00511,Phishing,79474,12,17,Nashik,19.9975,73.7898,0.3,35.22,10,6,0
CP-00512,Online Shopping Fraud,82310,12,10,Mumbai,19.076,72.8777,0.69,46.1,4,5,1
CP-00513,Online Shopping Fraud,91504,11,11,Thane,19.2183,72.9781,0.71,38.16,17,15,1
CP-00514,Identity Theft,87945,12,14,Thane,19.2183,72.9781,0.67,44.75,17,9,1
CP-00515,Phishing,2173,9,4,Aurangabad,19.8762,75.3433,0.03,7.69,21,1,0
CP-00516,Investment Fraud,98828,13,6,Nagpur,21.1458,79.0882,0.98,34.33,4,1,1
CP-00517,Online Shopping Fraud,99275,9,2,Mumbai,19.076,72.8777,0.36,22.9,19,7,0
CP-00518,Identity Theft,31642,9,10,Nashik,19.9975,73.7898,0.69,2.83,12,12,1
CP-00519,Phishing,90303,6,18,Aurangabad,19.8762,75.3433,0.05,37.31,6,14,0
CP-00520,Phishing,92857,12,12,Kolhapur,16.705,74.2433,0.76,27.56,19,6,1
CP-00521,Identity Theft,59327,3,3,Nagpur,21.1458,79.0882,0.19,9.1,16,3,0
CP-00522,Investment Fraud,56665,5,18,Pune,18.5204,73.8567,0.26,8.47,8,0,0
CP-00523,Online Shopping Fraud,93520,15,5,Nashik,19.9975,73.7898,0.04,46.47,19,1,0
CP-00524,Online Shopping Fraud,87255,5,16,Aurangabad,19.8762,75.3433,0.79,27.73,2,10,1
CP-00525,UPI Fraud,24600,9,3,Mumbai,19.076,72.8777,0.79,8.39,17,12,0
CP-00526,Online Shopping Fraud,29492,15,7,Nagpur,21.1458,79.0882,0.66,16.89,9,6,0
CP-00527,UPI Fraud,62740,9,1,Thane,19.2183,72.9781,0.11,17.63,7,7,0
CP-00528,Online Shopping Fraud,42565,7,4,Kolhapur,16.705,74.2433,0.39,27.24,9,0,0
CP-00529,Investment Fraud,49646,9,17,Aurangabad,19.8762,75.3433,0.45,2.67,20,6,0
CP-00530,UPI Fraud,11293,2,6,Thane,19.2183,72.9781,0.97,38.78,17,0,0
CP-00531,Online Shopping Fraud,88362,11,7,Mumbai,19.076,72.8777,0.86,21.5,3,6,1
CP-00532,UPI Fraud,92609,15,14,Aurangabad,19.8762,75.3433,0.65,47.02,23,4,1
CP-00533,Online Shopping Fraud,94461,6,2,Nashik,19.9975,73.7898,0.09,3.19,8,2,0
CP-00534,Investment Fraud,30337,15,9,Aurangabad,19.8762,75.3433,0.41,22.83,12,13,0
CP-00535,Online Shopping Fraud,51552,11,4,Pune,18.5204,73.8567,0.53,32.25,19,2,0
CP-00536,Online Shopping Fraud,92366,14,3,Pune,18.5204,73.8567,0.36,25.39,9,9,0
CP-00537,Phishing,37399,13,15,Pune,18.5204,73.8567,0.38,41.2,0,15,1
CP-00538,Investment Fraud,29318,3,13,Thane,19.2183,72.9781,0.8,42.55,9,4,0
CP-00539,UPI Fraud,96094,11,12,Kolhapur,16.705,74.2433,0.96,1.05,17,4,1
CP-00540,Phishing,1159,10,20,Pune,18.5204,73.8567,0.39,27.6,2,9,1
CP-00541,Phishing,97680,15,12,Kolhapur,16.705,74.2433,0.21,45.33,16,4,0
CP-00542,Online Shopping Fraud,29439,10,9,Mumbai,19.076,72.8777,0.19,9.48,18,1,0
CP-00543,Online Shopping Fraud,84998,9,3,Nashik,19.9975,73.7898,0.29,3.83,3,6,0
CP-00544,Phishing,43865,6,5,Nashik,19.9975,73.7898,0.67,12.11,9,2,0
CP-00545,Online Shopping Fraud,64182,8,11,Nagpur,21.1458,79.0882,0.62,15.63,18,4,0
CP-00546,Phishing,48274,13,11,Thane,19.2183,72.9781,0.96,8.85,10,7,1
CP-00547,Identity Theft,97469,11,14,Kolhapur,16.705,74.2433,0.28,18.29,21,10,0
CP-00548,Investment Fraud,58873,6,10,Nashik,19.9975,73.7898,0.49,5.89,20,2,0
CP-00549,UPI Fraud,18850,15,18,Aurangabad,19.8762,75.3433,0.2,36.81,20,2,0
CP-00550,UPI Fraud,66976,11,1,Pune,18.5204,73.8567,0.81,29.16,18,6,0
CP-00551,Phishing,34659,9,18,Thane,19.2183,72.9781,0.47,38.87,11,12,0
CP-00552,Investment Fraud,77780,12,10,Aurangabad,19.8762,75.3433,0.13,25.31,2,12,0
